Frequency (GHz), S11 (dB)
1.121000000000000085e+01,-5.233295140534968137e-01
1.122000000000000064e+01,-5.182404099671085174e-01
1.123000000000000043e+01,-5.132759475980054331e-01
1.124000000000000021e+01,-5.084325506428845065e-01
1.125000000000000000e+01,-5.037067732074810289e-01
1.125999999999999979e+01,-4.990952942049390328e-01
1.126999999999999957e+01,-4.945949120306924462e-01
1.127999999999999936e+01,-4.902025394983384743e-01
1.128999999999999915e+01,-4.859151990221796114e-01
1.130000000000000071e+01,-4.817300180329608383e-01
1.131000000000000050e+01,-4.776442246141123782e-01
1.132000000000000028e+01,-4.736551433464967209e-01
1.133000000000000007e+01,-4.697601913505689564e-01
1.133999999999999986e+01,-4.659568745153320757e-01
1.134999999999999964e+01,-4.622427839041626796e-01
1.135999999999999943e+01,-4.586155923282206337e-01
1.136999999999999922e+01,-4.550730510786167304e-01
1.138000000000000078e+01,-4.516129868090860144e-01
1.139000000000000057e+01,-4.482332985612935139e-01
1.140000000000000036e+01,-4.449319549255339457e-01
1.141000000000000014e+01,-4.417069913297950734e-01
1.141999999999999993e+01,-4.385565074507044026e-01
1.142999999999999972e+01,-4.354786647401227007e-01
1.143999999999999950e+01,-4.324716840616465996e-01
1.144999999999999929e+01,-4.295338434314568965e-01
1.146000000000000085e+01,-4.266634758583394138e-01
1.147000000000000064e+01,-4.238589672779707329e-01
1.148000000000000043e+01,-4.211187545768249052e-01
1.149000000000000021e+01,-4.184413237013446252e-01
1.150000000000000000e+01,-4.158252078481793346e-01
1.150999999999999979e+01,-4.132689857316095838e-01
1.151999999999999957e+01,-4.107712799244379043e-01
1.152999999999999936e+01,-4.083307552688241193e-01
1.153999999999999915e+01,-4.059461173537278755e-01
1.155000000000000071e+01,-4.036161110558170728e-01
1.156000000000000050e+01,-4.013395191409154794e-01
1.157000000000000028e+01,-3.991151609230120245e-01
1.158000000000000007e+01,-3.969418909783043459e-01
1.158999999999999986e+01,-3.948185979116546340e-01
1.159999999999999964e+01,-3.927442031730481453e-01
1.160999999999999943e+01,-3.907176599217864754e-01
1.161999999999999922e+01,-3.887379519362221814e-01
1.163000000000000078e+01,-3.868040925669818386e-01
1.164000000000000057e+01,-3.849151237317199326e-01
1.165000000000000036e+01,-3.830701149495355229e-01
1.166000000000000014e+01,-3.812681624132977509e-01
1.166999999999999993e+01,-3.795083880981709457e-01
1.167999999999999972e+01,-3.777899389047801870e-01
1.168999999999999950e+01,-3.761119858354372569e-01
1.169999999999999929e+01,-3.744737232020848294e-01
1.171000000000000085e+01,-3.728743678644779735e-01
1.172000000000000064e+01,-3.713131584973327071e-01
1.173000000000000043e+01,-3.697893548852244638e-01
1.174000000000000021e+01,-3.683022372440248327e-01
1.175000000000000000e+01,-3.668511055677262100e-01
1.175999999999999979e+01,-3.654352789996331285e-01
1.176999999999999957e+01,-3.640540952268373487e-01
1.177999999999999936e+01,-3.627069098970509553e-01
1.178999999999999915e+01,-3.613930960568059736e-01
1.180000000000000071e+01,-3.601120436102109301e-01
1.181000000000000050e+01,-3.588631587973387105e-01
1.182000000000000028e+01,-3.576458636914863765e-01
1.183000000000000007e+01,-3.564595957145287874e-01
1.183999999999999986e+01,-3.553038071696140721e-01
1.184999999999999964e+01,-3.541779647904903516e-01
1.185999999999999943e+01,-3.530815493068634736e-01
1.186999999999999922e+01,-3.520140550250249745e-01
1.188000000000000078e+01,-3.509749894232624956e-01
1.189000000000000057e+01,-3.499638727613634814e-01
1.190000000000000036e+01,-3.489802377037277692e-01
1.191000000000000014e+01,-3.480236289555331819e-01
1.191999999999999993e+01,-3.470936029114026766e-01
1.192999999999999972e+01,-3.461897273161592681e-01
1.193999999999999950e+01,-3.453115809371232192e-01
1.194999999999999929e+01,-3.444587532475716918e-01
1.196000000000000085e+01,-3.436308441208919540e-01
1.197000000000000064e+01,-3.428274635350255783e-01
1.198000000000000043e+01,-3.420482312868214914e-01
1.199000000000000021e+01,-3.412927767159167902e-01
1.200000000000000000e+01,-3.405607384377852265e-01
